Run,MY1,Mchi,Omegah2,xsi,x_f,sigmav_xf
373,49.084,105.06,8.1e-05,0.000673,28.0,0.0
374,49.084,107.6,7.9e-05,0.000656,28.0,0.0
375,49.084,108.95,7.8e-05,0.000647,28.0,0.0
376,49.084,111.09,7.6e-05,0.000633,29.0,0.0
377,49.084,112.83,7.4e-05,0.000621,29.0,0.0
378,49.084,114.59,7.3e-05,0.00061,29.0,0.0
379,49.084,116.75,7.2e-05,0.000596,29.0,0.0
380,49.084,118.08,7e-05,0.000588,29.0,0.0
381,49.084,121.58,6.8e-05,0.000566,29.0,0.0
382,49.084,124.97,6.6e-05,0.000546,29.0,0.0
383,49.084,125.07,6.5e-05,0.000545,29.0,0.0
384,49.084,128.57,6.3e-05,0.000525,29.0,0.0
385,49.084,132.06,6.1e-05,0.000506,29.0,0.0
386,49.084,133.19,6e-05,0.000499,29.0,0.0
387,49.084,135.56,5.8e-05,0.000487,29.0,0.0
388,49.084,139.05,5.6e-05,0.000469,29.0,0.0
389,49.084,142.55,5.4e-05,0.000452,29.0,0.0
390,49.084,144.15,5.3e-05,0.000444,29.0,0.0
391,49.084,146.04,5.2e-05,0.000435,29.0,0.0
392,49.084,149.54,5e-05,0.000419,29.0,0.0
393,49.084,149.89,5e-05,0.000418,29.0,0.0
394,49.084,153.03,4.8e-05,0.000404,29.0,0.0
395,49.084,153.87,4.8e-05,0.000401,29.0,0.0
396,49.084,156.53,4.7e-05,0.00039,29.0,0.0
397,49.084,160.02,4.5e-05,0.000374,29.0,0.0
398,49.084,161.99,4.4e-05,0.000364,30.0,0.0
399,49.084,163.52,4.2e-05,0.000353,30.0,0.0
400,49.084,167.01,3.7e-05,0.000309,30.0,0.0
401,49.084,170.51,2.5e-05,0.000206,30.0,0.0
402,49.084,171.17,2.1e-05,0.000179,30.0,0.0
403,49.084,174.0,1.3e-05,0.000108,31.0,0.0
404,49.084,177.5,1e-05,8.6e-05,31.0,0.0
405,49.084,180.35,9e-06,7.6e-05,31.0,0.0
406,49.084,180.99,9e-06,7.4e-05,31.0,0.0
407,49.084,184.49,8e-06,6.7e-05,31.0,0.0
408,49.084,187.98,7e-06,6.2e-05,31.0,0.0
409,49.084,188.7,7e-06,6.1e-05,31.0,0.0
410,49.084,191.48,7e-06,5.8e-05,31.0,0.0
411,49.084,194.97,7e-06,5.5e-05,31.0,0.0
412,49.084,196.18,6e-06,5.4e-05,31.0,0.0
413,49.084,198.47,6e-06,5.2e-05,31.0,0.0
414,49.084,200.38,6e-06,5.1e-05,31.0,0.0
415,49.084,201.96,6e-06,5e-05,31.0,0.0
416,49.084,205.46,6e-06,4.8e-05,32.0,0.0
417,49.084,208.95,6e-06,4.7e-05,32.0,0.0
418,49.084,212.45,5e-06,4.5e-05,32.0,0.0
419,49.084,212.84,5e-06,4.5e-05,32.0,0.0
420,49.084,215.94,5e-06,4.4e-05,32.0,0.0
421,49.084,219.44,5e-06,4.3e-05,32.0,0.0
422,49.084,222.32,5e-06,4.2e-05,32.0,0.0
423,49.084,222.93,5e-06,4.2e-05,32.0,0.0
424,49.084,226.43,5e-06,4.1e-05,32.0,0.0
425,49.084,229.92,5e-06,4e-05,32.0,0.0
426,49.084,231.06,5e-06,4e-05,32.0,0.0
427,49.084,233.42,5e-06,4e-05,32.0,0.0
428,49.084,236.91,5e-06,3.9e-05,32.0,0.0
429,49.084,237.44,5e-06,3.9e-05,32.0,0.0
430,49.084,327.73,4e-06,2.9e-05,33.0,0.0
431,49.084,450.11,3e-06,2.3e-05,33.0,0.0
432,49.084,515.03,2e-06,2e-05,33.0,0.0
433,49.084,588.03,2e-06,1.8e-05,34.0,0.0
434,49.084,586.41,2e-06,1.8e-05,34.0,0.0
435,49.084,585.58,2e-06,1.8e-05,34.0,0.0
436,49.084,583.12,2e-06,1.8e-05,34.0,0.0
437,49.084,582.92,2e-06,1.8e-05,34.0,0.0
438,49.084,580.67,2e-06,1.8e-05,34.0,0.0
439,49.084,579.42,2e-06,1.8e-05,34.0,0.0
440,49.084,578.21,2e-06,1.8e-05,34.0,0.0
441,49.084,575.93,2e-06,1.8e-05,34.0,0.0
442,49.084,575.76,2e-06,1.8e-05,34.0,0.0
443,49.084,573.33,2e-06,1.9e-05,34.0,0.0
444,49.084,572.43,2e-06,1.9e-05,34.0,0.0
445,49.084,571.02,2e-06,1.9e-05,34.0,0.0
446,49.084,568.94,2e-06,1.9e-05,34.0,0.0
447,49.084,568.87,2e-06,1.9e-05,34.0,0.0
448,49.084,567.35,2e-06,1.9e-05,34.0,0.0
449,49.084,565.86,2e-06,1.9e-05,34.0,0.0
450,49.084,565.44,2e-06,1.9e-05,34.0,0.0
451,49.084,564.37,2e-06,1.9e-05,34.0,0.0
452,49.084,562.88,2e-06,1.9e-05,34.0,0.0
453,49.084,561.95,2e-06,1.9e-05,34.0,0.0
454,49.084,558.45,2e-06,1.9e-05,34.0,0.0
455,49.084,557.76,2e-06,1.9e-05,34.0,0.0
456,49.084,554.96,2e-06,1.9e-05,34.0,0.0
457,49.084,551.46,2e-06,1.9e-05,34.0,0.0
458,49.084,549.1,2e-06,1.9e-05,34.0,0.0
459,49.084,547.97,2e-06,1.9e-05,34.0,0.0
460,49.084,544.47,2e-06,2e-05,34.0,0.0
461,49.084,540.98,2e-06,2e-05,33.0,0.0
462,49.084,537.48,2e-06,2e-05,33.0,0.0
463,49.084,533.99,2e-06,2e-05,33.0,0.0
464,49.084,531.44,2e-06,2e-05,33.0,0.0
465,49.084,530.49,2e-06,2e-05,33.0,0.0
